name,abbrv,census_2000,census_2010,census_2020
Alabama,AL,4447100,4779736,5031362
Alaska,AK,626932,710231,732923
Arizona,AZ,5130632,6392017,7179943
Arkansas,AR,2673400,2915918,3014195
California,CA,33871648,37253956,39501653
Colorado,CO,4301261,5029196,5784865
Connecticut,CT,3405565,3574097,3597362
Delaware,DE,783600,897934,992114
District of Columbia,DC,572059,601723,670868
Florida,FL,15982378,18801310,21589602
Georgia,GA,8186453,9687653,10729828
Hawaii,HI,1211537,1360301,1451043
Idaho,ID,1293953,1567582,1849202
Illinois,IL,12419293,12830632,12786580
Indiana,IN,6080485,6483802,6788799
Iowa,IA,2926324,3046355,3190571
Kansas,KS,2688418,2853118,2937919
Kentucky,KY,4041769,4339367,4507445
Louisiana,LA,4468976,4533372,4651664
Maine,ME,1274923,1328361,1363557
Maryland,MD,5296486,5773552,6173205
Massachusetts,MA,6349097,6547629,6995729
Michigan,MI,9938444,9883640,10069577
Minnesota,MN,4919479,5303925,5709852
Mississippi,MS,2844658,2967297,2958141
Missouri,MO,5595211,5988927,6153998
Montana,MT,902195,989415,1087075
Nebraska,NE,1711263,1826341,1962642
Nevada,NV,1998257,2700551,3115648
New Hampshire,NH,1235786,1316470,1378587
New Jersey,NJ,8414350,8791894,9271689
New Mexico,NM,1819046,2059179,2118390
New York,NY,18976457,19378102,20108296
North Carolina,NC,8049313,9535483,10449445
North Dakota,ND,642200,672591,779518
Ohio,OH,11353140,11536504,11797517
Oklahoma,OK,3450654,3751351,3964912
Oregon,OR,3421399,3831074,4244795
Pennsylvania,PA,12281054,12702379,12994440
Rhode Island,RI,1048319,1052567,1096345
South Carolina,SC,4012012,4625364,5131848
South Dakota,SD,754844,814180,887799
Tennessee,TN,5689283,6346105,6925619
Texas,TX,20851820,25145561,29232474
Utah,UT,2233169,2763885,3283785
Vermont,VT,608827,625741,642893
Virginia,VA,7078515,8001024,8636471
Washington,WA,5894121,6724540,7724031
West Virginia,WV,1808344,1852994,1791420
Wisconsin,WI,5363675,5686986,5896271
Wyoming,WY,493782,563626,577605
